job_title,company_name,details_link,job_text
"Data Scientist, senior level",Terminal 1,https://www.indeed.hk/viewjob?jk=5096f6cd99709c3f,"Responsibilities
Responsible for the analytics pipeline from data extraction and processing to model creation and result visualisation
Conduct data analysis and create algorithms to predict probabilities
Lead researches in the application of AI for stakeholders
Identify what data is available and relevant from internal and eternal sources
Design data collection, integration and retention requirements
Work with the engineering team to design and implement data-driven systems

Requirements
Hands on experience (minimum 6 years) with machine learning models using Python or R
Experience with one of the following tools: Tensorflow, XGboost, Torch7
Data Visualization skills
Great communication skills in English AND Cantonese or Mandarin"
"Data Scientist, Director- Financial Services APAC- HKD80k",Cogs Agency HK,https://www.indeed.hk/viewjob?jk=1ab9ad946450576f,"My client is a well- recognized investment firm with a global reach. They provide investment solutions of all asset classes for their client to achieve their financial goals. Technology, data science, and innovation is the essential to drive effective investment decisions. They are looking to hire a Data Scientist, Director, to help enhancing such capabilities.
Responsibilities:
Collaborate seamlessly with global teams to incorporate data analytics, deep learning, Natural Language Processing (NLP), machine learning techniques to develop new investment strategies and products of all asset classes (equities, fixed- income, multi- asset)
Design and develop new tools to determine human behavioural insights on investment strategies and purchasing behaviours
Requirements:
Education background (Masters/PhD) in Statistics, Biology, Mathematics, or other relevant disciplines
Solid experience in data science, machine learning, Natural Language Processing (NLP)
Knowledge in investment products, market trends, and overall financial landscapes
For confidential discussions please contact Dennis Law via dennis.law@cogsageny.com, thanks."
Data Scientist,RADICA SYSTEMS LIMITED,https://www.indeed.hk/viewjob?jk=f1621540076157c1,"We love DATA, we believe DATA can make our life more beautiful! Radica is a Big Data Solution Provider that offers secured, easy-to-use and quality data-driven solutions to the enterprises who are early technology adopters in the new era of marketing, helping them fully leverage the power of data for business growth. In the past 17 years. Radica has been evolving from an award-winning email marketing solution provider to a big data solution provider, and offers a series of data collaboration and e-communication platforms as well as strategic consulting services. Our clients include Fortune 500 companies, publicly listed companies and international luxury brands worldwide. In cope with our fast business expansion in Hong Kong and the Southern China, we are aggressively hiring technical and business talents to join us! If you love to work with a team of creative, passionate and energetic professionals, please send us your CV now! www.radicasys.com Wanna learn more about What We Do? Check out here: Video

WHAT YOU'LL DO:
Construct data science workflow and modeling on top of huge historical campaign/response data
Devise technical data analytic or data science solutions to open business problem
Cleanse, process, verify and transform clients’ data into analytics-friendly format
Select, build and optimize different data prediction models according to the clients’ business objectives
Implement data science and data analytic models in common languages
Communicate analytics results in a clear and easy-to-understand manner yet with technical details
Construct, manage and monitor the healthiness of clients’ database
Prepare data visualization reports and analytical dashboards to draw out insights for the clients
Standardize analytics methodology and architect to improve working efficiency
Do ad-hoc analysis when necessary
Work with peer data scientists and other data analysts in the team
Maintain data privacy and governance in strict confidence for the company and for the customer

WHAT BASIC QUALIFICATIONS YOU NEED TO GET:
University graduate with Computer Science or Engineering is preferred but not a must, with 3-5 years of relevant experience.
Excellent understanding of machine learning techniques and algorithms, such as k-NN, SVM, Decision Forests, etc.
Experience in common data science toolkits, such as R, Python, Hadoop, etc.
Excellence in at least one of these is highly desirable Strong oral, written, and interpersonal communication skills
Experience in data visualization tools such as Tableau
Proficiency in using query languages such as SQL, Hive, Pig
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Experience in Computer/ Data Graph Analysis is preferable
Experience in deep learning on unstructured data will be a bonus
Candidates with less experience will be considered as Data Analyst

~~~~ We love DATA, we believe DATA can make our life more beautiful! ~~~~~~~~~
Interested parties please click hr@radicasys.com
Data held by the company relating to employment applications will be kept confidential and used only for processing applications. Applications who are not contacted within 1 month may consider their applications unsuccessful.
All personal data of unsuccessful applicants will be retained for a maximum period of two years and may refer suitable applicants to other vacancies within the company."
Data Scientist,Hotmob Limited,https://www.indeed.hk/viewjob?jk=a59b9777a43f6a69,"About Hotmob Limited

Established in 2007, Hotmob (www.hot-mob.com) is the leading mobile marketing company that operates the largest Hybrid Mobile Marketplace in the region.
Hotmob is committed to offer premium advertising and data-driven mobile marketing solutions, with the facilitation of proprietary advertising technologies and robust ad-serving platforms to meet the growing demand from businesses across Asia.
Hotmob is truly dedicated to deliver innovation and thought leadership in mobile advertising, and our business is built on best-of-the-class solutions to bring value to local and global clients.

Responsibilities

Architect, implement and deploy new data models and data processes in production
Elicit and analyze the requirements to come up with a mobile strategy and present meaningful solutions to clients
Enhance data collection processes to include data from 1st and 3rd party systems relevant for developing analytics systems
Preparation of Visual Prototypes and solution components to provide visual model of solution
Develop, improve and iterate on machine learning techniques and data mining methodology
Develop tools for tracking, analyzing and reporting data from multiple sources and for diverse business needs
Provide recommendations to the management and account servicing team
Build automated models and visualizations tools to uncover patterns, optimize service offering and improve business model

Requirements:
Masters or Bachelors in relevant field (Data Mining, Computer Science, Mathematics, Statistics, Physics etc.)
Big Data Architecture, Visualization, Mining, Management, Governance, Integration.
Solid mathematical foundation and machine learning algorithm skills, proficient in common data structures and algorithms
Strong quantitative or engineering background
Ability to code (Preferably Python) and good knowledge of SQL
Experience in working with Big Data technologies (such as Apache Beam and Spark) is definitely a plus

Benefits:
COMPETITIVE PACKAGE
5 days’ working
Comfortable working environment
Performance Bonus
Medical Insurance and Training Allowance
Flexible working hours
Interested candidates please send your resume, date of availability, current and expected salary to: jobs@hot-mob.com"
Data Scientist,Lab Viso Limited,https://www.indeed.hk/viewjob?jk=2dfb473af85953b5,"$32,000 a monthWe are looking for a talented Data Scientist to join our team. Duties:Analyse unstructured data (e.g. financial news). Specifically, we want to: (i) extract entity from the unstructured data; (ii) resolve entities from the unstructured data.Built knowledge graph based on Natural Language Processing (NLP) and the extracted entity from the unstructured data.Transform mathematic models and data models into programming code in the appropriate language; provide secure, functional, clean and flawless code.Monitor and track progress to make sure in line with project plan; maintain comprehensive documentations for different projects.Define and specify technical requirements, software components and workflows to meet the project requirements; conduct appropriate testings and evaluations.Applicants should haveA Ph.D. degree in Computer Science or related discipline.An established track record of outstanding publications in data mining, databases, information retrieval or related areas.Strong presentation and writing skills.Working experience in academia and in industrySoftware development and deployment experience; experience in system analysis, design, integration, programming, implementation and deployment.Solid knowledge in DBMS (such as MySQL), Natural Language Processing (NLP).Excellent communication skill; an analytical and creative mind; self-motivated; excellent problem-solving skills; ability to work under pressure.Applicant graduated before 2015 is also welcome to apply.Job Types: Full-time, ContractSalary: $32,000.00 /monthExperience:Research: 3 years (Required)Education:Doctoral Degree (Required)Language:English, Chinese (Required)"
"Data Scientist (NLP, Deep Learning, Text Analytics)",Thinkcol.AI,https://www.indeed.hk/viewjob?jk=dec891350591d503,"$15,000 - $30,000 a monthRoles and responsibilities: Working as part of the research and development (R&D;) team, the qualified applicant will play a key role in the design and implementation of the latest NLP/deep learning practice techniques into our platform. You will be given access to our comprehensive database of unstructured data, which includes customer-agent dialogues and social media conversations in multiple languages from all across the world.Key responsibilities include: Working together with our growing team of developers, database administrators, UI.UX designers, linguistic experts, and data scientistsAssisting in the research, design, and implementation of NLP/Deep Learning/Machine Learning techniques into our platformProviding assistance with model implementation and integration at all levels of the data pipelineSharing with the internal team your experience and knowledge of the latest practices in deep learning and natural language processingCreating language agnostic models that cater to multiple languages including but not limited to: Chinese, Spanish, Portuguese, and EnglishWorking with customers to help them understand algorithm requirements and delivering them the high-quality solutions they are looking forEssential Skills & Experience: Bachelor’s degree (preferably in Computer Science); Masters preferred2+ years of experience in NLP/machine learning/Deep Learning research and developmentExpertise with deep learning frameworks and methods such as Tensorflow and LSTM is a mustFluency in Python is a mustExperience with NLP techniques such as POS, Tokenization, and Entity Extraction is a mustKnowledge in Natural Language Process methods such as (NLTK, CoreNLP, Gensim, Spacy, etc.)Knowledge in building data solution for questioning answering/dialog system is a plusKnowledge in Linux/Bash scripting Relational databases (Oracle, PostgreSQL, MySQL, etc) is a plus1-3 years of modern, objective-oriented, or functional programming experience is preferredPlease Note: Participants without a GitHub portfolio reference in their resume will not be considered for an interview.Job Type: Full-timeSalary: $15,000.00 to $30,000.00 /monthExperience:NLP/machine learning: 2 years (Required)Education:Bachelor's Degree (Required)Language:Chinese (Preferred)English (Preferred)"
Data Scientist / Computational Scientist (ACT),ClusterTech Limited,https://www.indeed.hk/viewjob?jk=6c635a7830de9c7b,"ClusterTech Limitedis committed to providing value to clients through advanced computing technologies including Cloud, High Performance Computing, Big Data and Heterogeneous Computing. We provide a comprehensive range of services and products to solve problems in massive data processing, large-scale computing, in-depth analysis, artificial intelligence, and uninterrupted service. Our business areas include financial engineering (investment analysis, risk management, derivatives pricing, etc.), business intelligence (sales forecasting, customer management, inventory management, etc.), environmental science (weather forecast, heavy rain and turbulence forecasting, analysis and prediction of pollution, etc.), smart city (information gathering, information analysis, optimisation and management), and internet applications (massive image processing, video storage and delivery). We also provide public cloud, private cloud and hybrid cloud solutions for businesses of all sizes.Job Description: Solving practical problems by using computational skills and cross-category approaches of data mining/statistics/artificial intelligence/mathematical optimization;Utilize user characteristics and behavior data, financial data to do data mining and model building analysis;Participate in client research to collect users’ need, prepare reports of clients’ behavior analysis;May have to work both in HK and mainland;Job Requirements: Major in Computer Science, Engineering, Statistics or related disciplines;1-2 years hands on relevant working experience;Good at analytical thinking with solid mathematics knowledge;Good master of foundation theories and approaches of data mining or statistics field;Proficiency in Java, Python, R or at least one programming language;Knowledge on data structure and algorithm;Experience on processing mass data, model building, and product improvement by mathematical approach is preferable;Knowledge on MYSQL,ORACLE database operation with excellent tuning skills is an advantage;Knowledge on machine learning or statistics field with experience on data mining projects is preferred;Team spirit, proactive in idea sharing with good communication skills (Chinese and English);Preference will be given to candidates with high integrity, team spirit, strong sense of responsibility, and passion for the application of modern computing technology in China;We offer competitive remuneration package including 5-day work and 15 days annual leave to the right candidate with excellent career advancement. Interested parties please apply with detailed resume (in MS Word / PDF Format)All applications will be treated in strict confidence. Personal information collected will be used solely for the purpose of recruitment. If you are not invited for an interview within 4 weeks, your application will be filed for a further 2 years and be considered for any other appropriate positions within the company or related companies.For more information about ClusterTech, please visit our web site at http://www.clustertech.com.Job Types: Full-time, Permanent"
Freelance Recruiters with network in Hong Kong,Weesper,https://www.indeed.hk/viewjob?jk=9ea98969a38b9633,"Signup To Weesper!! - http://bit.ly/2wfhMpjWe are looking for freelance recruiters to help us fill our amazing jobs posted on www.weesper.com. On Weesper you can refer people you know for jobs in Hong Kong and earn cash money rewards if they get hired (up to HK$ 50,000 !!!!)At this point, we are pretty sure you are telling yourself ""But I've never hired someone in the past and I've never been a recruiter myself"".Don't worry, you don't need to be a recruiter for 20+ years to be able to refer your connections on Weesper. We all know great people thanks to our networks, connections at work or even our hobbies.All you have to do is to:- Register to weesper.com;- View the job list and search your network for potential match;- Share jobs with your connections;- Wait for them to apply and refer them, telling us and the hiring company why you think it's a good fit;- Wait for the reward to arrive in your pocket after they get hired : )It's quite a revolution of the HR industry and of the sourcing of the best talents on the market. Let's join us and you too be part of our crowd-recruiting disruptive concept.Here are some examples of the jobs currently on Weesper:- Data Scientist NLP - HK$ 48,000 Reward- Front-end Developer - HK$ 36,000 Reward- Business Developer - HK$ 25,000 Reward- Content Marketing Manager - HK$ 18,000 RewardWhat we offer:- Remote work- You decide when you want to work- Success based compensation (from HK$ 6,000 to HK$ 50,000)- We help you to make the most of your network- Good karma for helping your friends to find their dream jobSee you soon on Weesper : )Job Type: CommissionSalary: $10,000.00 to $60,000.00 /monthLocation:Hong Kong (Preferred)"
"Data Scientist, senior level",Terminal 1,https://www.indeed.hk/viewjob?jk=5096f6cd99709c3f,"Responsibilities
Responsible for the analytics pipeline from data extraction and processing to model creation and result visualisation
Conduct data analysis and create algorithms to predict probabilities
Lead researches in the application of AI for stakeholders
Identify what data is available and relevant from internal and eternal sources
Design data collection, integration and retention requirements
Work with the engineering team to design and implement data-driven systems

Requirements
Hands on experience (minimum 6 years) with machine learning models using Python or R
Experience with one of the following tools: Tensorflow, XGboost, Torch7
Data Visualization skills
Great communication skills in English AND Cantonese or Mandarin"
Product Analytics / Data Scientist,Crypto.com,https://www.indeed.hk/viewjob?jk=dfe701326a127bbc,"About the company:

CRYPTO.com, the pioneering payments and cryptocurrency platform, formerly known as Monaco, seeks to accelerate the world’s transition to cryptocurrency. Its MCO branded consumer financial services, including the MCO Visa Card, MCO Wallet app, and MCO Token embrace a vision of Cryptocurrency in Every Wallet™.CRYPTO.com is headquartered in Hong Kong.

MCO is redefining how money is being moved, spent and invested. MCO is democratizing blockchain technology by designing beautiful, simple and useful financial services that have a lasting, positive impact on people’s lives.

For more information, please visit: www.crypto.com and mco.crypto.com.

About the role:

The product analytics team empowers data-driven decision making in the full cycle of product development. They lead experimentation and growth initiatives, develop automation solutions to personalize product experiences, provide insights to users about their activity, and drive strategic decisions with data.

Responsibilities include:

Partner with product stakeholders to make data-driven decisions across the organization by leveraging descriptive and predictive analytics where it will have material impact
Communicate analysis and insights to stakeholders in verbal, visual, and written media
Lead the data strategy of product engineering, influencing them to make well-informed architecture and design decisions that affect data
Recommend logging throughout the product to effectively analyze user behavior
Provide comprehensive day-to-day analytics support to partner teams, develop tools and dashboards to empower data access and self-service
What you can expect from us?

We offer an attractive compensation package working in a cutting-edge field of Fintech
Exploring and learning latest technologies through your work, including but not limited to: Big Data, Blockchain
Huge responsibilities from Day 1. Be the owner of your own learning curve. The possibilities are limitless and depend on you
You get to work in a very dynamic environment and be part of an international team
You will get to have involvement in developing a brand new product from scratch alongside with a talented team"
